subID	TimeConstraint	Model	randi	scl0	eta0	Mp0	wp0	scl	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	10.000000	2.000000	4.000000	0.900106	0.126048	1.000000	1.000000	1.256347	0.101694	1.000000	1.000000	115.388397	0.106490	1.000000	26.000000
1.000000	10.000000	2.000000	18.000000	1.076442	0.333659	1.000000	1.000000	1.336671	0.083218	1.000000	1.000000	114.259458	0.123068	1.000000	30.000000
1.000000	10.000000	2.000000	22.000000	0.965814	0.341327	1.000000	1.000000	1.379422	0.087394	1.000000	1.000000	114.623278	0.092573	1.000000	31.000000
1.000000	10.000000	2.000000	20.000000	1.075237	0.104744	1.000000	1.000000	1.807602	0.067737	1.000000	1.000000	114.958492	0.100710	1.000000	21.000000
1.000000	10.000000	2.000000	40.000000	1.055354	0.292192	1.000000	1.000000	1.904623	0.000000	1.000000	1.000000	113.440742	0.111884	1.000000	19.000000
1.000000	10.000000	2.000000	35.000000	1.049739	0.362116	1.000000	1.000000	1.077225	0.110814	1.000000	1.000000	116.981113	1.013521	1.000000	30.000000
1.000000	10.000000	2.000000	36.000000	0.967290	0.183696	1.000000	1.000000	1.662395	0.042652	1.000000	1.000000	113.174345	0.138268	1.000000	32.000000
1.000000	1.500000	1.000000	26.000000	0.900573	0.280429	1.000000	1.000000	0.993262	0.160608	1.000000	1.000000	136.912139	0.119035	2.000000	11.000000
1.000000	1.500000	1.000000	7.000000	1.096651	0.242156	1.000000	1.000000	0.963329	0.174002	1.000000	1.000000	137.113780	0.098206	2.000000	11.000000
1.000000	1.500000	1.000000	18.000000	1.026397	0.384770	1.000000	1.000000	0.937744	0.159106	1.000000	1.000000	136.949796	0.105997	2.000000	11.000000
1.000000	1.500000	1.000000	16.000000	0.984171	0.167112	1.000000	1.000000	0.959180	0.167090	1.000000	1.000000	136.974170	0.076979	2.000000	11.000000
1.000000	1.500000	1.000000	5.000000	0.923331	0.292402	1.000000	1.000000	1.028320	0.152441	1.000000	1.000000	136.845668	0.124826	2.000000	11.000000
1.000000	1.500000	1.000000	6.000000	0.938697	0.377512	1.000000	1.000000	1.051172	0.174414	1.000000	1.000000	136.896141	0.096727	2.000000	11.000000
1.000000	1.500000	1.000000	8.000000	1.059748	0.386214	1.000000	1.000000	1.117908	0.138260	1.000000	1.000000	139.865557	1.609471	2.000000	11.000000
1.000000	1.500000	1.000000	9.000000	0.971645	0.364759	1.000000	1.000000	1.019977	0.161679	1.000000	1.000000	136.768173	0.116291	2.000000	13.000000
1.000000	1.500000	1.000000	4.000000	1.039119	0.224092	1.000000	1.000000	1.039764	0.166395	1.000000	1.000000	136.688350	0.093869	2.000000	12.000000
1.000000	1.500000	1.000000	35.000000	1.055606	0.208619	1.000000	1.000000	1.081281	0.160873	1.000000	1.000000	136.766463	0.119475	2.000000	12.000000
1.000000	1.500000	1.000000	15.000000	1.025990	0.308495	1.000000	1.000000	0.884180	0.171777	1.000000	1.000000	136.992829	0.081389	2.000000	11.000000
1.000000	1.500000	1.000000	33.000000	1.075570	0.312478	1.000000	1.000000	1.024146	0.163428	1.000000	1.000000	136.900304	0.071015	2.000000	12.000000
1.000000	1.500000	1.000000	39.000000	0.925025	0.326946	1.000000	1.000000	0.970428	0.165336	1.000000	1.000000	136.742341	0.089414	2.000000	11.000000
1.000000	1.500000	1.000000	20.000000	0.988661	0.133298	1.000000	1.000000	0.923459	0.166813	1.000000	1.000000	136.966942	0.100992	2.000000	12.000000
1.000000	1.500000	1.000000	14.000000	1.078105	0.359041	1.000000	1.000000	1.168958	0.147845	1.000000	1.000000	137.476943	0.979184	2.000000	13.000000
1.000000	1.500000	1.000000	32.000000	0.962826	0.140737	1.000000	1.000000	0.701788	0.190659	1.000000	1.000000	137.720747	0.076418	2.000000	14.000000
1.000000	1.500000	1.000000	13.000000	0.900547	0.168528	1.000000	1.000000	1.242358	0.152881	1.000000	1.000000	136.302993	0.092776	2.000000	13.000000
1.000000	1.500000	1.000000	21.000000	1.025981	0.321355	1.000000	1.000000	1.356470	0.156030	1.000000	1.000000	136.036170	0.114886	2.000000	12.000000
1.000000	1.500000	1.000000	19.000000	1.058760	0.376570	1.000000	1.000000	1.415561	0.157161	1.000000	1.000000	135.969399	0.095654	2.000000	13.000000
