subID	modeli	name	Mp	delta	wp	nll	nllsd	success	iterations
6	3	DN	2.27373675443232e-13	-0.428764489944512	0.261160359885748	231.834106101144	0.0324669320350852	1	29
6	4	dDNb	7.82165443524718e-11	-0.480376046286074	0.255885066429255	230.335698836016	0.0332128211089605	1	21
6	5	dDNd	1.11758708953857e-07	-0.484188432246447	0.25598022043705	230.320809250533	0.0271768862807544	2	15
7	1	McFadden	31.8324956744909	0.497735856287181	NaN	283.119810062089	0.0329536259051991	1	22
7	2	LinearDistrb	31.7330697979924	0.480682135273673	NaN	283.893732179022	0.0350325589174724	1	24
7	3	DN	31.1824332848191	0.557851687818766	0	283.115313955362	0.0313700112883774	2	16
7	4	dDNb	30.9655339717865	0.55158234834671	0	283.903407471389	0.0359684222375278	2	26
7	5	dDNd	32.0394779443741	0.47745703458786	0	283.899825853252	0.0366513959542022	2	17
8	1	McFadden	12.4505004882812	-0.524676513671875	NaN	154.624702778966	0.0992528020345101	2	14
8	2	LinearDistrb	12.4036712646484	-0.597519302368164	NaN	154.255358244756	0.0724336446138082	2	16
8	3	DN	12.5159502699971	-0.53506478574127	0	154.668298932479	0.102035132441862	2	18
8	4	dDNb	12.209228515625	-0.5947509765625	0	154.204913808702	0.100967970916101	2	17
8	5	dDNd	11.9920039176941	-0.5965256690979	0	153.966394813432	0.103204286071324	2	28
9	1	McFadden	6.92156078666449	-0.167134113609791	NaN	190.295559382378	0.0960973680715756	2	30
9	2	LinearDistrb	5.98504638671875	-0.13251953125	NaN	188.401560391993	0.128624411062323	1	20
9	3	DN	0.00322484970092773	-0.202617740631104	0.152570247650146	189.951356185144	0.0974216147330689	2	11
9	4	dDNb	0.0010986328125	-0.0432647705078125	0.118048095703125	188.610735224406	0.140798600964732	2	17
9	5	dDNd	4.83634948730469	0.0315155029296875	0.00930328369140621	189.501633969258	0.911469756433674	2	24
10	1	McFadden	17.9800103604794	0.120521730184555	NaN	352.56766108169	0.0333086680889266	2	16
10	2	LinearDistrb	18.71278958289	0.102885048030134	NaN	353.634924305362	0.0329717207013124	1	19
10	3	DN	18.1062716398552	0.146881383065362	0.000168951586814403	352.600246902945	0.0377842518701251	1	22
10	4	dDNb	18.6902705430984	0.106352174282074	0	353.916040362984	0.0412768486524718	2	18
10	5	dDNd	18.1355090141296	0.155199062824249	0	353.60743434361	0.0345706774668514	2	22
11	1	McFadden	251.906513273716	1.02220490574837	NaN	395.306928665766	0.032741266410371	2	23
11	2	LinearDistrb	280.916114740889	1.42040250254795	NaN	395.324924914071	0.0346559961835923	1	24
11	3	DN	0.0010986328125	0.106423950195313	0.931396484375	369.814993732274	0.0306605876798132	1	28
11	4	dDNb	0.00106567912522593	0.0463548061028995	0.971041686827698	373.108376624289	0.0366678244095422	1	21
11	5	dDNd	0.0010986328125	0.16854248046875	0.97642822265625	362.854416077341	0.0321752686364777	2	14
12	1	McFadden	94.9037880524993	-0.347541472315788	NaN	374.350207104309	0.0335561648655734	1	24
12	2	LinearDistrb	97.0720133240102	-0.376046884746756	NaN	374.075981280923	0.0456915065276604	2	19
12	3	DN	7.05718994140625e-05	-0.335023307800293	0.638767623901367	367.389556250056	0.0252922024512431	2	23
12	4	dDNb	0.00010096539335791	-0.316681528674963	0.612039186368929	366.924773624841	0.0319014666212092	1	22
12	5	dDNd	7.05718994140625e-05	-0.304473876953125	0.597655868530273	366.950739541399	0.0315678615270289	2	17
13	1	McFadden	95.738570563035	0.588350683863973	NaN	350.595916630834	0.0383800509580164	1	21
13	2	LinearDistrb	97.9360309122922	0.894948421328945	NaN	350.657108827331	0.0283838145038896	1	24
13	3	DN	102.153173804283	0.553558707237244	0	350.626518262217	0.0329801910872534	2	20
