subID	Model	eta	Mp	wp	nll
16	7	1	8	1.842105e-01	3.360754e+02
17	1	8	NaN	NaN	1.410940e+03
17	2	8	NaN	NaN	8.320627e+02
17	3	1	-8	3.947368e-01	2.442505e+02
17	4	1	-8	3.947368e-01	2.483338e+02
17	5	1	-8	3.947368e-01	2.458995e+02
17	6	1	-5.948718e+00	3.947368e-01	2.486362e+02
17	7	1	-7.179487e+00	3.947368e-01	2.460841e+02
18	1	8	NaN	NaN	1.455829e+03
18	2	8	NaN	NaN	1.176005e+03
18	3	1	7.179487e+00	3.421053e-01	2.430050e+02
18	4	1	5.948718e+00	3.421053e-01	2.416657e+02
18	5	1	6.358974e+00	3.421053e-01	2.437782e+02
18	6	1	4.307692e+00	3.421053e-01	2.417728e+02
18	7	1	5.538462e+00	3.421053e-01	2.433163e+02
19	1	3.076923e+00	NaN	NaN	2.245941e+02
19	2	2.666667e+00	NaN	NaN	2.238164e+02
19	3	1	4.717949e+00	-1.842105e-01	2.225577e+02
19	4	1	-6.153846e-01	1.315789e-01	2.154223e+02
19	5	1	4.307692e+00	-2.368421e-01	2.205559e+02
19	6	1	-6.153846e-01	1.315789e-01	2.098436e+02
19	7	1	4.307692e+00	-2.368421e-01	2.213371e+02
20	1	8	NaN	NaN	2.808883e+03
20	2	8	NaN	NaN	1.459138e+03
20	3	1	6.769231e+00	5.000000e-01	3.653977e+02
20	4	1	8	5.000000e-01	3.652865e+02
20	5	1	6.769231e+00	5.000000e-01	3.647448e+02
20	6	1	8	5.000000e-01	3.652387e+02
20	7	1	6.769231e+00	5.000000e-01	3.648049e+02
21	1	6.153846e-01	NaN	NaN	3.873881e+02
21	2	6.153846e-01	NaN	NaN	3.870716e+02
21	3	1	6.153846e-01	-5.000000e-01	3.862050e+02
21	4	1	6.153846e-01	-4.473684e-01	3.851476e+02
21	5	1	6.153846e-01	-5.000000e-01	3.858614e+02
21	6	1	6.153846e-01	-5.000000e-01	3.856127e+02
21	7	1	6.153846e-01	-5.000000e-01	3.861238e+02
22	1	3.897436e+00	NaN	NaN	3.502313e+02
22	2	3.076923e+00	NaN	NaN	3.486724e+02
22	3	1	1.435897e+00	5.000000e-01	3.483461e+02
22	4	1	4.307692e+00	-3.421053e-01	3.426062e+02
22	5	1	4.717949e+00	-3.947368e-01	3.448985e+02
22	6	1	3.897436e+00	-2.894737e-01	3.439228e+02
22	7	1	4.717949e+00	-4.473684e-01	3.462770e+02
23	1	7.589744e+00	NaN	NaN	6.419857e+02
23	2	8	NaN	NaN	5.709575e+02
23	3	1	8	1.842105e-01	2.252010e+02
23	4	1	5.538462e+00	1.842105e-01	2.235303e+02
23	5	1	7.589744e+00	1.315789e-01	2.250312e+02
23	6	1	8	1.842105e-01	2.232958e+02
23	7	1	8	1.315789e-01	2.249094e+02
24	1	8	NaN	NaN	8.113327e+02
24	2	2.666667e+00	NaN	NaN	2.531857e+02
24	3	1	7.589744e+00	5.000000e-01	3.477861e+02
24	4	1	-1.025641e+00	4.473684e-01	2.399146e+02
24	5	1	6.153846e-01	2.631579e-02	2.465989e+02
24	6	1	2.256410e+00	-2.631579e-02	2.446819e+02
24	7	1	2.051282e-01	7.894737e-02	2.452868e+02
25	1	7.589744e+00	NaN	NaN	1.016736e+03
25	2	8	NaN	NaN	8.032759e+02
25	3	1	8	2.368421e-01	2.722748e+02
25	4	1	8	2.368421e-01	2.725417e+02
25	5	1	8	2.368421e-01	2.727839e+02
25	6	1	8	2.368421e-01	2.722559e+02
25	7	1	6.358974e+00	2.894737e-01	2.725765e+02
26	1	8	NaN	NaN	1.215905e+02
26	2	7.179487e+00	NaN	NaN	1.219485e+02
26	3	1	-1.846154e+00	1.842105e-01	1.104365e+02
26	4	1	-1.435897e+00	1.842105e-01	1.122983e+02
26	5	1	-2.666667e+00	1.842105e-01	1.107788e+02
26	6	1	-2.666667e+00	1.842105e-01	1.120947e+02
26	7	1	-1.846154e+00	1.842105e-01	1.110489e+02
27	1	8	NaN	NaN	9.506118e+02
27	2	8	NaN	NaN	7.400651e+02
27	3	1	7.589744e+00	4.473684e-01	3.472194e+02
27	4	1	4.717949e+00	4.473684e-01	3.456682e+02
27	5	1	6.769231e+00	4.473684e-01	3.471619e+02
27	6	1	3.076923e+00	5.000000e-01	3.458015e+02
27	7	1	6.769231e+00	4.473684e-01	3.471221e+02
28	1	4.307692e+00	NaN	NaN	1.717505e+02
28	2	3.487179e+00	NaN	NaN	1.700337e+02
28	3	1	2.666667e+00	7.894737e-02	1.708802e+02
28	4	1	2.256410e+00	7.894737e-02	1.699806e+02
28	5	1	3.076923e+00	2.631579e-02	1.699098e+02
28	6	1	3.897436e+00	-2.631579e-02	1.698159e+02
28	7	1	3.897436e+00	-2.631579e-02	1.695521e+02
29	1	8	NaN	NaN	1.814075e+03
29	2	8	NaN	NaN	1.432827e+03
29	3	1	-1.025641e+00	5.000000e-01	3.430939e+02
29	4	1	-3.076923e+00	5.000000e-01	3.438372e+02
29	5	1	-3.897436e+00	5.000000e-01	3.431126e+02
29	6	1	-2.051282e-01	5.000000e-01	3.439794e+02
29	7	1	-6.153846e-01	5.000000e-01	3.428722e+02
30	1	7.589744e+00	NaN	NaN	1.456544e+03
30	2	8	NaN	NaN	7.183156e+02
30	3	1	8	3.421053e-01	2.327611e+02
30	4	1	8	2.894737e-01	2.301950e+02
30	5	1	8	2.894737e-01	2.303183e+02
30	6	1	8	2.894737e-01	2.300645e+02
30	7	1	8	2.894737e-01	2.300380e+02
31	1	8	NaN	NaN	4.306924e+03
31	2	-8	NaN	NaN	4.221418e+02
31	3	1	8	5.000000e-01	4.391100e+02
31	4	1	7.179487e+00	-7.894737e-02	3.869446e+02
31	5	1	-5.538462e+00	7.894737e-02	3.797733e+02
31	6	1	-7.589744e+00	-5.000000e-01	3.824783e+02
31	7	1	-8	1.315789e-01	3.784688e+02
32	1	8	NaN	NaN	3.160852e+02
32	2	7.589744e+00	NaN	NaN	3.123624e+02
32	3	1	6.153846e-01	5.000000e-01	2.992248e+02
32	4	1	-2.051282e-01	5.000000e-01	2.953727e+02
32	5	1	2.051282e-01	5.000000e-01	2.974772e+02
32	6	1	-2.051282e-01	5.000000e-01	2.952565e+02
32	7	1	2.051282e-01	5.000000e-01	2.977615e+02
33	1	-1.435897e+00	NaN	NaN	3.716637e+02
33	2	-1.025641e+00	NaN	NaN	3.715666e+02
33	3	1	-3.076923e+00	-1.315789e-01	3.715274e+02
33	4	1	-5.948718e+00	4.473684e-01	3.715419e+02
33	5	1	-2.666667e+00	4.473684e-01	3.712647e+02
33	6	1	-1.846154e+00	-3.421053e-01	3.714349e+02
33	7	1	-1.435897e+00	-7.894737e-02	3.713602e+02
34	1	4.717949e+00	NaN	NaN	1.697590e+02
34	2	3.897436e+00	NaN	NaN	1.676665e+02
34	3	1	3.487179e+00	7.894737e-02	1.685355e+02
34	4	1	-6.153846e-01	2.368421e-01	1.566232e+02
34	5	1	-6.153846e-01	1.842105e-01	1.594574e+02
34	6	1	1.025641e+00	1.842105e-01	1.596850e+02
34	7	1	-6.153846e-01	2.368421e-01	1.594054e+02
35	1	4.717949e+00	NaN	NaN	1.625968e+02
35	2	4.307692e+00	NaN	NaN	1.648109e+02
35	3	1	5.948718e+00	-7.894737e-02	1.623512e+02
