subID,subCode,V1,V2,V3,sdV1,sdV2,sdV3,ID1,ID2,ID3,chosenItem,RT,larger,smaller,distractor
1,S01EL,0.5,0.5,0.1,0,0,0.14142135623731,15,24,6,1,1.490086879,NaN,NaN,NaN
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,25,1,2,4.386396567,1,0,0
1,S01EL,1,1,0.1,0,0,0.14142135623731,4,11,6,2,1.4398494,NaN,NaN,NaN
1,S01EL,0.5,0.5,0.1,0,0,0.14142135623731,21,24,6,2,1.992317462,NaN,NaN,NaN
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,11,29,2,1.322610921,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,17,29,2,2.075994246,1,0,0
1,S01EL,1,1,0,0,0,0,4,11,29,2,1.15530252,NaN,NaN,NaN
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,17,16,2,1.623954796,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,17,7,2,1.439853714,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,1,2,1.992277846,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,11,19,2,1.540140078,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,15,19,2,1.724396402,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,25,19,1,1.724398402,0,1,0
1,S01EL,0.5,1,0,0,0,0,21,4,1,2,1.255541212,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,25,23,1,1.607163745,0,1,0
1,S01EL,0.5,1,0,0,0,0,24,11,7,2,1.590404505,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,11,19,2,1.255804306,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,11,23,2,1.38960385,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,25,13,2,2.042527074,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,21,27,1,2.410838937,0,1,0
1,S01EL,0.5,0.5,0,0,0,0,15,24,9,1,1.17191628,NaN,NaN,NaN
1,S01EL,1,1,0,0,0,0,11,17,27,2,1.47331282,NaN,NaN,NaN
1,S01EL,0.5,1,0,0,0,0,24,17,29,2,1.188686765,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,21,24,9,2,4.302681743,NaN,NaN,NaN
1,S01EL,0.5,1,0.1,0,0,0.14142135623731,21,11,6,2,1.272381471,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,21,9,2,2.37728125,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,22,7,1,1.339365695,0,1,0
1,S01EL,0.5,1,0,0,0,0,24,17,7,2,1.088132029,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,11,1,2,1.222037386,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,11,27,2,1.607177166,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,21,24,1,2,2.310365696,NaN,NaN,NaN
1,S01EL,0.5,0.5,0,0,0,0,15,21,7,1,2.05923207,NaN,NaN,NaN
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,21,1,2,1.958896915,1,0,0
1,S01EL,0.5,1,0.1,0,0,0.14142135623731,24,17,6,2,4.1184632,1,0,0
1,S01EL,0.5,1,0.1,0,0,0.14142135623731,24,11,6,2,1.372932143,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,17,13,2,1.054745446,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,25,23,2,4.821690453,1,0,0
1,S01EL,1,1,0,0,0,0,4,17,29,2,0.954415649,NaN,NaN,NaN
1,S01EL,0.5,1,0,0,0,0,15,17,27,2,1.322601642,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,25,13,2,2.059270085,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,16,2,1.305852144,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,15,16,2,2.729014103,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,17,7,2,1.356074737,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,4,27,1,2.126229617,0,1,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,21,27,2,1.523424006,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,17,13,2,4.302704898,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,13,2,1.874968336,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,15,21,27,1,2.176462004,NaN,NaN,NaN
1,S01EL,0.5,0.5,0,0,0,0,21,24,7,2,1.674219033,NaN,NaN,NaN
1,S01EL,0.25,0.75,0.1,0.353553390593274,0.353553390593274,0.14142135623731,12,25,6,2,2.946587698,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,27,2,3.097069119,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,24,9,2,4.620676583,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,21,16,2,2.444453681,1,0,0
