subID	modeli	name	Mp	wp	scl	nll	nllsd	success	iterations
6	2	LinearDistrb	0.408972299424931	NaN	0.00994046817068006	140.275100487543	0.0223609463090051	1	21
6	3	DN	0.401075528065952	0.000538318149655437	NaN	140.283370390104	0.0314734639851313	1	22
6	4	dDNb	0.399417479085969	0.00034456662251614	0.0509211715077982	140.309588304006	0.0241135505384453	2	26
6	5	dDNd	0.402927398681641	0	0.0817356109619141	140.29477426928	0.0269693884430034	1	28
7	1	McFadden	0.333600037721297	NaN	NaN	112.999767179576	0.021867383146657	1	20
7	2	LinearDistrb	1.66893005371094e-05	NaN	0.868699169158936	95.8784066502112	0.0149745264696293	2	16
7	3	DN	0.334465121717606	1.21884357653368e-05	NaN	113.020245278557	0.0237646857073527	1	28
7	4	dDNb	4.61935997009277e-07	0.00118593126535416	0.748763053119183	95.6830745465308	0.0166079487210369	2	19
7	5	dDNd	1.96020118892193e-06	0.00189458508393725	0.759601807780564	95.8380250242143	0.0176674624828194	1	22
8	1	McFadden	0.857438176870346	NaN	NaN	138.916350286859	0.0224519148423048	2	18
8	2	LinearDistrb	0.768049001693726	NaN	0.934078979492188	137.41170901164	0.0217612308412627	2	23
8	3	DN	3.09228198602796e-11	0.132137438179143	NaN	130.78634663821	0.0249888685684699	1	25
8	4	dDNb	4.88758087158203e-06	0.131962466239929	0.133457827568054	130.756471649645	0.0328565581402487	2	17
8	5	dDNd	9.31322574615479e-08	0.132275124639273	0.152716564387083	130.775411216858	0.0268610766929165	2	33
9	1	McFadden	0.449229624607206	NaN	NaN	104.59839048495	0.0209867442137519	1	24
9	2	LinearDistrb	0.453155517578125	NaN	4.88281249999556e-05	104.62595986219	0.0209322587848006	2	13
9	3	DN	0.450720839522546	0	NaN	104.60896709024	0.0164201606648309	1	19
9	4	dDNb	0.447382263839245	0	1.19209289106692e-08	104.637893314469	0.0171199334029342	2	20
9	5	dDNd	0.450662647226636	0	0.000309056465994217	104.613985146255	0.0130493550102912	1	31
10	1	McFadden	0.533619879783146	NaN	NaN	150.210068593887	0.0221845346572946	1	20
10	2	LinearDistrb	0.535056357439203	NaN	9.07055142107538e-06	150.170849965298	0.0177559274248483	1	22
10	3	DN	0.538647174835205	0	NaN	150.181929888043	0.0220266945404137	2	18
10	4	dDNb	0.537336077541113	0	0.0221397934714334	150.149951171463	0.0218332136072251	2	25
10	5	dDNd	0.535433050245047	0	0.00239140577614316	150.148982050028	0.0204903140346866	1	19
11	1	McFadden	0.136016928204981	NaN	NaN	159.780707742208	0.0212743852426344	1	20
11	2	LinearDistrb	4.88758087158203e-06	NaN	1.02518417835236	155.046279482004	0.023890981258212	2	22
11	3	DN	0.131393432617188	0	NaN	159.722004510576	0.0253493061115208	2	23
11	4	dDNb	0.000158309936523438	0	1.02041091918945	155.068644434589	0.0225964736185341	2	17
11	5	dDNd	0.000188827523061263	0	1.03542293313988	155.067473903761	0.0178895968255443	1	38
12	1	McFadden	0.453711800393648	NaN	NaN	162.836050006911	0.0248508177723552	1	21
12	2	LinearDistrb	0.326306261686568	NaN	1.23749697946705	157.184806347005	0.0403647897987588	1	32
12	3	DN	0.46367084980011	0	NaN	162.830569501238	0.0198712420716466	2	19
12	4	dDNb	1.9371509552002e-06	0.0263776063919068	1.09095569849014	156.662050271646	0.0493939344933327	1	21
12	5	dDNd	0.00299072265625	0.027130126953125	1.07182006835938	156.731737422625	0.0508448404565775	1	21
13	1	McFadden	0.465090718986175	NaN	NaN	162.855573914867	0.0191984632897969	1	25
13	2	LinearDistrb	0.124574295412458	NaN	2.5260352534664	158.716021883979	0.0168549864646931	1	18
13	3	DN	0.564563751220703	0	NaN	161.994822154171	0.0201446997996554	2	23
13	4	dDNb	0.184931887779385	0.000940033979713872	2.35692460043356	158.750941979927	0.0154807374991011	2	16
13	5	dDNd	0.137246121570954	0.000178142867920505	2.53612274854526	158.674101008209	0.0236592988863421	1	24
14	1	McFadden	2.35497367905919	NaN	NaN	265.79554119236	0.0256020899151157	2	22
14	2	LinearDistrb	2.38599395751953	NaN	7.62939453169409e-07	265.790677747865	0.0313150625681484	2	16
14	3	DN	2.55952644348145	0	NaN	265.811722248889	0.0322058742856142	2	11
14	4	dDNb	2.54446744918823	0.000174903869628928	1.19209289550781e-07	265.824713268428	0.0263274052304225	2	17
14	5	dDNd	2.34370355267408	0	5.19794122189055e-07	265.86865731052	0.0333283778906162	2	21
15	1	McFadden	0.686599433422089	NaN	NaN	153.495945924111	0.0216353172912817	2	21
15	2	LinearDistrb	0.700628727674484	NaN	0.095666629076004	153.467409574773	0.0238530729982261	2	18
15	3	DN	4.88758087158203e-06	0.0899371385574341	NaN	152.311569088551	0.0240350746687369	1	22
15	4	dDNb	0.00072479248046875	0.0889312744140625	7.62939453125e-06	152.330611832805	0.0241473907579191	2	21
15	5	dDNd	0.00189837710834695	0.0896420585384661	3.43322754625675e-06	152.296413425047	0.0225174830447651	2	22
