subID	Model	randi	Mp0	wp0	scl0	Mp	wp	scl	nll	nllsd	success	iterations
1	4	27	13.064142	0.912561	1.945879	0.351189	0	0.708186	99.126854	0.042185	1	27
1	4	6	12.896651	0.532745	1.997274	0.201496	0.013048	0.818662	99.777486	0.040762	2	25
1	4	13	75.411823	1.081471	0.241724	0.000439	0.042142	0.838647	101.744391	0.024182	2	18
1	4	15	57.599457	0.293215	1.101686	0.002283	0.03431	0.748029	100.404797	0.035586	2	22
1	4	34	15.473116	1.275237	1.675786	0.000005	0.030886	0.727862	100.212476	0.035994	2	19
1	4	4	66.986034	0.831662	0.479932	0.32903	0	0.716571	99.092805	0.039163	2	23
1	4	11	65.876848	1.146242	1.942213	0.33274	0	0.773333	99.079448	0.034334	2	19
1	4	21	2.215886	0.714491	1.594519	0.359708	0	0.650764	99.282778	0.03987	2	20
1	4	3	5.223674	0.273109	1.98105	0	0.031345	0.738325	100.243757	0.025516	2	20
1	4	40	82.302769	0.917638	1.769107	0.32445	0	0.779761	99.045366	0.034781	1	26
1	4	26	78.68717	1.35823	0.393769	0.321917	0	0.886597	99.335572	0.030203	2	23
1	4	18	11.353126	1.369164	0.605522	0	0.030159	0.760689	100.273575	0.037689	2	25
1	4	32	23.868684	0.97004	1.322083	0.206552	0.016579	0.775845	99.964238	0.026896	1	25
1	4	33	79.805124	1.384835	1.467315	0.831128	0	0.000127	113.241802	0.018937	1	22
1	4	9	17.245312	0.296009	0.888303	0.320363	0	0.809215	99.048078	0.035048	1	25
1	4	20	37.450032	0.715943	1.401405	0.278269	0.001647	0.814045	99.326674	0.042906	1	28
1	4	39	60.551327	0.235737	1.654234	0.322761	0	0.730337	99.019076	0.03735	2	24
1	4	29	52.039218	0.63648	1.059257	0.055489	0.02643	0.791538	100.225641	0.03478	1	24
1	4	37	27.211381	0.119725	0.742281	0.523438	0.000171	0.013306	104.356049	0.038028	1	23
1	4	7	27.632823	0.503565	1.104165	0.327386	0	0.662994	99.18265	0.040903	1	26
1	4	36	7.42396	1.258604	1.082716	0.308655	0	0.723421	99.092427	0.038671	1	24
1	4	17	79.87884	0.437192	1.733778	0.337959	0	0.799669	99.106114	0.031541	1	24
1	4	12	94.910206	0.129187	0.899823	0.013037	0.03117	0.741754	100.296737	0.036088	1	25
1	4	1	70.281065	1.353024	0.64349	0.01479	0.028813	0.811576	100.372379	0.032946	1	26
1	4	28	15.854552	0.191233	0.495335	0.000004	0.030458	0.770384	100.226055	0.027064	1	31
1	4	30	29.415969	0.548545	0.893786	0.333569	0	0.665047	99.236244	0.032263	1	29
1	4	16	95.247142	1.023349	0.420481	0.124309	0.018416	0.802602	100.044949	0.038037	1	38
1	5	25	39.863384	0.499792	1.918717	0.009033	0.688208	0.764697	220.846205	0.023891	2	11
1	5	12	49.748455	0.161339	0.435819	0.709961	0.143896	1.101813	159.342375	0.021984	2	13
1	5	40	57.693289	0.025252	1.671383	0.375359	0	0.733881	99.372902	0.031499	2	16
1	5	18	51.068952	0.794468	0.759909	0.009033	0.072461	0.000049	111.279746	0.033737	2	18
1	5	26	23.545019	1.187619	1.302401	0.000158	0.040834	0.693276	101.029517	0.032059	2	12
1	5	32	93.855496	0.140484	1.866892	0.000002	0.036715	0.733058	100.489038	0.025404	2	22
1	5	21	3.759232	1.090576	1.407095	0.330458	0.000003	0.786944	99.08649	0.035153	2	18
1	5	3	1.676212	0.721077	0.961576	0.24947	0.008043	0.709756	99.554617	0.044526	2	19
1	5	29	41.121239	0.770578	1.981816	0.000005	0.029268	0.716178	100.339758	0.042826	2	19
1	5	9	85.507216	1.262862	1.767812	0.000017	0.030914	0.766644	100.336516	0.029636	2	17
1	5	35	56.224333	0.926444	0.764422	0.325192	0	0.769793	98.993415	0.037907	1	19
1	5	34	28.489093	0.136341	0.423985	0.000002	0.029985	0.701766	100.365671	0.053094	2	20
1	5	13	58.981628	1.166353	0.74199	0.000017	0.030544	0.739654	100.319272	0.037921	2	19
1	5	5	92.483882	1.005377	1.67782	0.352983	0	0.700112	99.138514	0.034925	2	17
1	5	39	88.319347	1.04021	0.29094	0	0.030115	0.74403	100.246767	0.03498	1	25
1	5	16	24.33137	0.360672	1.166872	0.329785	0	0.849068	99.217634	0.024874	2	24
1	5	11	64.052691	0.496862	1.330587	0.31889	0	0.75459	99.000918	0.03224	2	18
1	5	33	41.338726	0.94272	1.218071	0	0.031472	0.762141	100.32606	0.032835	1	21
1	5	31	84.000472	0.821158	1.27128	0.314934	0	0.766798	98.993931	0.040241	1	23
1	5	4	32.193721	0.943519	1.167595	0	0.028837	0.728933	100.339093	0.037657	1	29
1	5	24	63.242215	0.239748	1.298557	0.003663	0.031139	0.746063	100.29869	0.045919	1	25
1	5	2	36.457729	0.709256	1.926619	0.000213	0.030842	0.715855	100.294089	0.040086	1	22
1	5	15	30.290306	0.891251	0.439603	0.000005	0.031234	0.773941	100.291473	0.027139	2	19
1	5	7	41.288194	0.869751	0.827546	0.335599	0.00275	0.61838	99.570752	0.045457	1	26
1	5	10	8.077298	0.381984	1.031047	0.324139	0.000003	0.667811	99.281881	0.052102	1	21
1	5	20	26.900424	1.19238	1.754349	0.000017	0.033297	0.732089	100.274431	0.049123	1	23
1	5	37	65.996901	0.74998	1.272985	0.32753	0.000001	0.707037	99.048417	0.040107	1	28
1	5	1	54.64345	0.226757	0.628781	0.009033	0.030078	0.676587	100.492873	0.05345	2	38
1	5	14	7.960918	0.825085	1.434775	0.345975	0	0.754961	99.028604	0.034158	1	23
1	5	19	15.046518	1.292342	1.981936	0.33873	0	0.723659	99.093329	0.034418	1	27
1	5	36	99.086585	1.249863	1.353896	0.323443	0.000003	0.671514	99.154082	0.039249	1	33
1	5	17	38.622286	1.303558	1.867606	0.507178	0	0.214991	103.468015	0.03908	1	25
1	5	38	83.766702	1.036171	0.358029	0.330623	0	0.751052	99.038405	0.032013	1	24
1	5	8	68.768231	1.060324	0.258985	0.326472	0	0.768608	99.042722	0.035284	1	25
1	5	27	68.89147	0.084225	1.319946	0.33702	0	0.661416	99.21396	0.033289	1	33
1	5	28	80.73704	1.226724	1.429555	0.006338	0.02968	0.774738	100.312189	0.030384	1	24
1	5	30	81.482702	1.186621	1.568307	0.302728	0	0.768149	99.142851	0.036306	2	34
1	5	6	26.692835	1.331618	1.310941	0.261627	0.007165	0.748363	99.313919	0.033827	1	28
1	5	23	97.300565	1.39891	1.025373	0	0.030331	0.712722	100.33386	0.054081	1	30
1	5	22	64.749866	1.04033	0.981881	0.292098	0.000199	0.943437	99.710804	0.032458	1	39
2	1	5	16.179827	NaN	NaN	0.226232	NaN	NaN	40.534886	0.018056	2	13
2	1	23	2.2888	NaN	NaN	0.223541	NaN	NaN	40.529376	0.019115	2	11
2	1	24	89.678661	NaN	NaN	0.211261	NaN	NaN	40.40122	0.018816	2	22
2	1	35	40.392809	NaN	NaN	0.21731	NaN	NaN	40.415972	0.022082	2	15
2	1	27	73.5132	NaN	NaN	0.221275	NaN	NaN	40.474313	0.013549	2	17
2	1	32	96.625734	NaN	NaN	0.232605	NaN	NaN	40.703193	0.021726	2	15
2	1	21	82.913158	NaN	NaN	0.206169	NaN	NaN	40.461912	0.021204	2	17
2	1	19	52.975443	NaN	NaN	0.190382	NaN	NaN	40.718748	0.039502	2	20
2	1	14	54.994564	NaN	NaN	0.219576	NaN	NaN	40.479598	0.021035	2	17
2	1	18	90.608263	NaN	NaN	0.228438	NaN	NaN	40.646534	0.015904	2	19
2	1	28	37.881813	NaN	NaN	0.217499	NaN	NaN	40.475803	0.019265	2	15
2	1	3	45.298685	NaN	NaN	0.214157	NaN	NaN	40.464521	0.02345	2	19
2	1	29	32.69914	NaN	NaN	0.176685	NaN	NaN	41.260742	0.040479	2	19
2	1	34	5.528843	NaN	NaN	0.208225	NaN	NaN	40.429455	0.025798	1	20
2	1	30	63.920394	NaN	NaN	0.206432	NaN	NaN	40.405304	0.024483	1	19
2	1	40	74.826283	NaN	NaN	0.228026	NaN	NaN	40.626368	0.020611	1	21
2	1	10	23.289284	NaN	NaN	0.203232	NaN	NaN	40.44188	0.022252	1	17
2	1	4	58.403765	NaN	NaN	0.210988	NaN	NaN	40.442165	0.019556	1	22
2	1	38	91.821792	NaN	NaN	0.218184	NaN	NaN	40.49348	0.022381	1	18
2	1	9	61.570514	NaN	NaN	0.201271	NaN	NaN	40.516352	0.022483	1	20
2	1	26	69.834034	NaN	NaN	0.198427	NaN	NaN	40.524312	0.031337	2	20
2	1	20	22.764521	NaN	NaN	0.190895	NaN	NaN	40.677365	0.024857	2	18
2	1	6	50.546389	NaN	NaN	0.208937	NaN	NaN	40.432914	0.024971	2	20
2	1	7	47.159385	NaN	NaN	0.218797	NaN	NaN	40.516443	0.017747	1	21
2	1	1	68.180017	NaN	NaN	0.228058	NaN	NaN	40.621401	0.019066	2	18
2	1	15	37.74572	NaN	NaN	0.206709	NaN	NaN	40.422974	0.024579	2	21
2	1	33	42.457791	NaN	NaN	0.208954	NaN	NaN	40.438264	0.026328	2	16
2	1	36	5.390512	NaN	NaN	0.210446	NaN	NaN	40.39644	0.016788	1	18
2	1	17	88.536082	NaN	NaN	0.215845	NaN	NaN	40.418489	0.021974	1	19
2	1	25	78.439034	NaN	NaN	0.173339	NaN	NaN	41.494785	0.05109	2	21
2	1	12	66.72958	NaN	NaN	0.207674	NaN	NaN	40.431647	0.022744	1	18
2	1	2	50.833803	NaN	NaN	0.213757	NaN	NaN	40.432497	0.026162	1	21
2	1	13	81.15608	NaN	NaN	0.211909	NaN	NaN	40.398866	0.020863	1	21
2	1	39	95.719567	NaN	NaN	0.209462	NaN	NaN	40.418379	0.027817	1	20
2	1	16	92.869263	NaN	NaN	0.215661	NaN	NaN	40.449744	0.018291	2	23
2	1	8	11.625665	NaN	NaN	0.204834	NaN	NaN	40.473788	0.017218	1	21
2	1	11	49.636706	NaN	NaN	0.211199	NaN	NaN	40.431483	0.01565	1	19
2	1	22	95.064464	NaN	NaN	0.216378	NaN	NaN	40.456618	0.022476	1	23
2	1	37	61.943758	NaN	NaN	0.210485	NaN	NaN	40.448274	0.017524	1	21
2	1	31	3.761034	NaN	NaN	0.210351	NaN	NaN	40.421028	0.026402	1	21
2	2	10	67.805483	NaN	0.604833	0.009033	NaN	0.611108	47.298364	0.027652	2	12
2	2	2	48.173746	NaN	0.263172	0.214478	NaN	0.000928	40.4025	0.018495	2	13
2	2	30	65.003785	NaN	1.11285	0.238647	NaN	0.173413	41.517308	0.015491	2	18
