subID	Model	eta	Mp	wp	nll
36	6	1	2.261676e-01	3.037975e-01	1.773444e+02
36	7	1	2.261676e-01	2.784810e-01	1.793052e+02
37	1	5.422221e+01	NaN	NaN	3.825694e+02
37	2	5.422221e+01	NaN	NaN	3.827467e+02
37	3	1	4.825522e+01	7.594937e-02	3.824438e+02
37	4	1	4.825522e+01	1.265823e-01	3.824490e+02
37	5	1	5.422221e+01	0	3.824002e+02
37	6	1	5.422221e+01	2.531646e-02	3.823703e+02
37	7	1	6.092705e+01	0	3.823775e+02
38	1	8.395579e+00	NaN	NaN	2.692732e+02
38	2	7.471671e+00	NaN	NaN	2.732175e+02
38	3	1	3.605471e-01	3.797468e-01	2.679830e+02
38	4	1	7.471671e+00	2.531646e-02	2.726831e+02
38	5	1	2.616505e+00	2.531646e-01	2.713687e+02
38	6	1	6.649436e+00	7.594937e-02	2.728733e+02
38	7	1	1.299942e+00	3.291139e-01	2.715098e+02
39	1	3.027002e+01	NaN	NaN	2.693483e+02
39	2	2.693889e+01	NaN	NaN	2.694744e+02
39	3	1	1.191103e+01	1.772152e-01	2.681227e+02
39	4	1	1.338389e+01	1.518987e-01	2.685080e+02
39	5	1	2.133605e+01	7.594937e-02	2.686247e+02
39	6	1	1.898808e+01	1.012658e-01	2.686398e+02
39	7	1	1.689850e+01	1.265823e-01	2.683396e+02
40	1	1.503887e+01	NaN	NaN	1.775218e+02
40	2	1.338389e+01	NaN	NaN	1.774973e+02
40	3	1	1.123655e-01	3.037975e-01	1.603552e+02
40	4	1	1.791284e-01	3.037975e-01	1.574806e+02
40	5	1	3.208700e-01	2.784810e-01	1.597944e+02
40	6	1	1.418727e-01	3.037975e-01	1.573845e+02
40	7	1	2.541343e-01	2.784810e-01	1.599508e+02
41	1	6.092705e+01	NaN	NaN	3.502804e+02
41	2	5.422221e+01	NaN	NaN	3.505033e+02
41	3	1	1.299942e+00	5.822785e-01	3.487184e+02
41	4	1	4.051305e-01	6.329114e-01	3.487595e+02
41	5	1	1.299942e+00	5.822785e-01	3.485991e+02
41	6	1	1.460686e+00	6.075949e-01	3.484494e+02
41	7	1	7.471671e+00	5.569620e-01	3.485101e+02
42	1	3.712105e+00	NaN	NaN	2.492135e+02
42	2	2.940048e+00	NaN	NaN	2.497484e+02
42	3	1	2.616505e+00	7.594937e-02	2.486680e+02
42	4	1	2.328566e+00	5.063291e-02	2.497313e+02
42	5	1	2.616505e+00	2.531646e-02	2.497449e+02
42	6	1	2.616505e+00	5.063291e-02	2.494330e+02
42	7	1	2.940048e+00	2.531646e-02	2.496749e+02
43	1	7.471671e+00	NaN	NaN	2.618974e+02
43	2	7.471671e+00	NaN	NaN	2.631662e+02
43	3	1	7.471671e+00	0	2.624878e+02
43	4	1	8.395579e+00	0	2.631302e+02
43	5	1	7.471671e+00	0	2.630521e+02
43	6	1	7.471671e+00	0	2.630233e+02
43	7	1	7.471671e+00	0	2.630323e+02
44	1	3.401305e+01	NaN	NaN	2.148734e+02
44	2	3.401305e+01	NaN	NaN	2.198065e+02
44	3	1	3.401305e+01	0	2.152840e+02
44	4	1	3.401305e+01	0	2.196226e+02
44	5	1	3.027002e+01	2.531646e-02	2.196402e+02
44	6	1	3.401305e+01	0	2.196144e+02
44	7	1	2.693889e+01	5.063291e-02	2.199998e+02
45	1	2.133605e+01	NaN	NaN	3.269850e+02
45	2	2.133605e+01	NaN	NaN	3.265312e+02
45	3	1	2.012785e-01	4.810127e-01	3.180827e+02
45	4	1	1.123655e-01	4.556962e-01	3.175990e+02
45	5	1	2.855592e-01	4.556962e-01	3.185078e+02
45	6	1	2.261676e-01	4.810127e-01	3.173515e+02
45	7	1	1.262600e-01	4.810127e-01	3.184380e+02
46	1	5.917686e+00	NaN	NaN	3.625552e+02
46	2	4.171125e+00	NaN	NaN	3.565234e+02
46	3	1	1.262600e-01	8.101266e-01	3.540183e+02
46	4	1	1.123655e-01	5.569620e-01	3.446816e+02
46	5	1	1.594159e-01	5.822785e-01	3.441602e+02
46	6	1	1.000000e-01	5.822785e-01	3.441182e+02
46	7	1	1.791284e-01	6.329114e-01	3.442539e+02
47	1	3.821893e+01	NaN	NaN	3.691126e+02
47	2	3.027002e+01	NaN	NaN	3.687231e+02
47	3	1	1.791284e-01	6.835443e-01	3.580779e+02
47	4	1	1.594159e-01	6.835443e-01	3.539395e+02
47	5	1	2.855592e-01	7.341772e-01	3.583828e+02
47	6	1	3.208700e-01	6.329114e-01	3.538034e+02
47	7	1	1.791284e-01	6.835443e-01	3.582029e+02
48	1	2.072315e+00	NaN	NaN	2.659226e+02
48	2	1.844263e+00	NaN	NaN	2.655779e+02
48	3	1	1.418727e-01	3.291139e-01	2.652826e+02
48	4	1	8.154407e-01	2.278481e-01	2.652852e+02
48	5	1	7.257040e-01	2.531646e-01	2.652891e+02
48	6	1	1.029576e+00	2.025316e-01	2.653502e+02
