subID	TimeConstraint	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
6	10	2	dDNd	1	0.13131103515625	1	1	96.4341312833766	0.07712925301603	1	21
6	1.5	1	dDNb	1	0.254964724183083	1	1	134.166881638062	0.0633182446547641	2	16
6	1.5	2	dDNd	1	0.258802795410156	1	1	133.898717990034	0.0906199534243382	1	23
7	10	1	dDNb	1	0.332941484451294	1	1	165.285817905811	0.0624222071546456	2	11
7	10	2	dDNd	1	0.329832515865564	1	1	165.466119231408	0.0827671626301503	2	23
7	1.5	1	dDNb	1	0.216025563701987	1	1	122.983154553894	0.075007623325843	2	14
7	1.5	2	dDNd	1	0.213232421875	1	1	123.413957786568	0.0715445754487309	2	10
8	10	1	dDNb	1	0.0554922103881836	1	1	64.5488031520778	0.0415928577150163	2	19
8	10	2	dDNd	1	0.0487423062324524	1	1	63.7280689735138	0.0425024805615618	2	13
8	1.5	1	dDNb	1	0.151617431640625	1	1	95.2757154973197	0.0949936780981156	2	11
8	1.5	2	dDNd	1	0.144517517089844	1	1	94.74002645617	0.105240674680489	2	20
9	10	1	dDNb	1	0.137527465820312	1	1	91.4614069559651	0.108673506729071	2	13
9	10	2	dDNd	1	0.141390991210937	1	1	92.750304445115	0.124860076605492	2	14
9	1.5	1	dDNb	1	0.147518730163574	1	1	101.413719633366	0.0889807650707791	2	13
9	1.5	2	dDNd	1	0.144414520263672	1	1	101.66914001474	0.133499201846239	2	12
10	10	1	dDNb	1	0.559211349487305	1	1	181.69537677119	0.078045934196779	2	12
10	10	2	dDNd	1	0.527688598632813	1	1	181.593776139467	0.0910107530452438	2	11
10	1.5	1	dDNb	1	0.442578718066216	1	1	173.684613776321	0.0617973580279974	2	10
10	1.5	2	dDNd	1	0.485116456799659	1	1	173.508042812477	0.0904628839243155	1	19
11	10	1	dDNb	1	1.19494552612305	1	1	188.890677196958	0.0729245678767615	2	13
11	10	2	dDNd	1	1.08677691243172	1	1	182.604736391071	0.0833871255061411	1	18
11	1.5	1	dDNb	1	0.982421875	1	1	186.809372603118	0.0879112366079585	2	12
11	1.5	2	dDNd	1	0.965119174518623	1	1	182.144277894143	0.0783971269374059	2	22
12	10	1	dDNb	1	0.408294677734375	1	1	180.253532849342	0.0718611558604257	2	9
12	10	2	dDNd	1	0.386559164524078	1	1	180.171035819801	0.0813719238578895	2	13
12	1.5	1	dDNb	1	0.627720064483583	1	1	186.766064501104	0.0600640165967821	2	15
12	1.5	2	dDNd	1	0.601449154486942	1	1	186.774205383999	0.0752482084857082	1	19
13	10	1	dDNb	1	1.18737232295462	1	1	190.246920852143	0.0773436157000965	1	24
13	10	2	dDNd	1	1.22149982452393	1	1	190.238049757424	0.0707272902913713	2	17
13	1.5	1	dDNb	1	0.678560739569366	1	1	160.387988367682	0.0617591252608445	2	23
13	1.5	2	dDNd	1	0.691545820236206	1	1	160.439072647439	0.0564295524821756	2	19
14	10	1	dDNb	1	0.124376738071442	1	1	99.7402773113464	1.01404595899607	1	16
14	10	2	dDNd	1	0.1349365234375	1	1	100.389142822921	0.180367708088479	2	12
14	1.5	1	dDNb	1	0.0953135944637665	1	1	82.8635495659232	0.0792244382694574	2	17
14	1.5	2	dDNd	1	0.0928104639053345	1	1	82.5462712124864	0.052843668752806	2	19
15	10	1	dDNb	1	0.357073146561743	1	1	163.917306615461	0.0737997437077357	2	14
15	10	2	dDNd	1	0.343062623729929	1	1	163.672308245926	0.0691166199264962	2	22
15	1.5	1	dDNb	1	0.324900154070929	1	1	158.011634638328	0.0654380762043251	1	35
15	1.5	2	dDNd	1	0.319869411180844	1	1	157.623689898325	0.0710950738088305	2	18
16	10	1	dDNb	1	0.240882566532957	1	1	161.052722713764	0.0826220717736927	2	25
16	10	2	dDNd	1	0.251974612660706	1	1	161.892030726163	0.0700733065170138	2	17
16	1.5	1	dDNb	1	0.391160903519994	1	1	174.848813270804	0.0990187784419507	2	19
16	1.5	2	dDNd	1	0.401257956027985	1	1	174.987467356773	0.0657832507255359	2	10
17	10	1	dDNb	1	0.225529885292053	1	1	128.7198897802	0.0618681976106718	2	12
17	10	2	dDNd	1	0.231589753739536	1	1	129.270456658007	0.0789864281597783	2	14
17	1.5	1	dDNb	1	0.236904239654541	1	1	118.681236524486	0.0696727487595068	2	22
17	1.5	2	dDNd	1	0.233459432324844	1	1	119.050086474329	0.106187964830984	2	20
18	10	1	dDNb	1	0.201953125	1	1	93.284904177928	0.0762216941743644	2	9
18	10	2	dDNd	1	0.195947265625	1	1	92.932816382739	0.0919140606579406	2	9
18	1.5	1	dDNb	1	0.356909958820654	1	1	143.288251208173	0.0894733521882487	1	21
18	1.5	2	dDNd	1	0.347066497802734	1	1	142.960315724136	0.0702550749899751	2	12
19	10	1	dDNb	1	0.0327081160619855	1	1	98.1303632662965	0.05551160547483	2	13
19	10	2	dDNd	1	9.76562499999667e-05	1	1	97.3105101226997	0.0548861202332035	2	11
19	1.5	1	dDNb	1	0.209165933728218	1	1	124.780549602132	0.107772949447417	2	13
19	1.5	2	dDNd	1	0.212961411476135	1	1	125.84835382675	0.0893705772698344	2	11
20	10	1	dDNb	1	1.0991473197937	1	1	193.58724128234	0.0745271944308035	2	11
20	10	2	dDNd	1	1.0804992666468	1	1	193.50498396621	0.0702257585415289	2	19
20	1.5	1	dDNb	1	0.311646819114685	1	1	160.766706311504	0.0730585619195089	2	15
20	1.5	2	dDNd	1	0.308605002183196	1	1	160.537315082757	0.0543301371896356	1	18
21	10	1	dDNb	1	0.276858425140381	1	1	195.410940268183	0.0773629198276557	2	14
21	10	2	dDNd	1	0.369797091218061	1	1	195.560353159218	0.0706413775056278	2	19
21	1.5	1	dDNb	1	0.188160218298435	1	1	190.380173400037	0.0598114453615923	2	14
