subID	modeli	name	eta	Mp	wp	nll	nllsd	success	iterations
8	4	dDNa	1	16.6285844508413	7.86255768614463e-06	168.981510293705	0.906291332154541	1	24
8	5	dDNb	1	2.86102299185131e-07	0.166861009597778	168.607957906409	0.100201993161414	2	17
8	6	dDNc	1	9.69440002441407	0.0623703002929688	168.859161871501	1.50370503275384	2	14
8	7	dDNd	1	16.8066261291504	3.81469726529193e-07	168.625305260545	0.101748052107044	2	17
9	1	McFadden	8.32077636718751	NaN	NaN	190.3906959007	0.0752075407168185	2	14
9	2	Model2	7.46419365108014	NaN	NaN	187.991479277723	0.0877557367045124	1	20
9	3	DN	1	8.28920502662659	4.76837158092103e-08	190.473166265847	0.106177248982997	2	17
9	4	dDNa	1	6.59960937500001	0.0219474792480469	188.784834482598	0.104401746162921	2	14
9	5	dDNb	1	9.2370555648813e-14	0.158977485529638	187.01593047308	0.131049228356706	1	28
9	6	dDNc	1	7.67138498127461	7.45058015283462e-10	188.661575477189	0.141460217376182	2	21
9	7	dDNd	1	0.0489565345458729	0.157312357984483	187.086114781213	0.140498712159161	2	21
10	1	McFadden	27.0553667724133	NaN	NaN	352.623291301814	0.0402658521879702	2	14
10	2	Model2	28.284515696764	NaN	NaN	353.754514648298	0.0341446390391877	2	12
10	3	DN	1	27.9238754272461	3.05175781245559e-06	352.731953513956	0.0356833586659938	2	13
10	4	dDNa	1	0.416633844375617	0.704371893405914	353.104985586909	0.0377236039601707	2	22
10	5	dDNb	1	27.3968408466317	4.51971311121735e-05	353.997583989187	0.0294148987749904	2	11
10	6	dDNc	1	0.000799560546880684	0.723800659179688	352.758796539554	0.0297742877290374	2	13
10	7	dDNd	1	27.8643617593476	1.81854531433601e-13	353.730369694619	0.0406671735563477	1	23
11	1	McFadden	487.559446672909	NaN	NaN	395.468347211568	0.0301896583956485	2	12
11	2	Model2	442.377287215367	NaN	NaN	395.481707137631	0.0335999683741869	2	13
11	3	DN	1	1.06170858771293e-08	1.3547890469199	369.897368361786	0.0307748175875782	2	15
11	4	dDNa	1	4.70969773260776e-05	1.29342043891584	364.602789683045	0.0376931248889389	2	16
