subID	modeli	name	Mp	wp	nll	nllsd	success	iterations
13	5	dDNd	0.716745853424072	0	148.753588618631	0.0217381222010791	2	16
14	1	McFadden	3.68588256835938	NaN	256.52576483388	0.0252419275412188	2	14
14	2	LinearDistrb	0.897310883185128	NaN	233.824049068052	0.0250544049922343	1	17
14	3	DN	7.48400816519279e-06	0.234536473241314	230.317481053388	0.0282727761954418	1	25
14	4	dDNb	4.76837158203125e-07	0.242006874084473	230.409880066021	0.0303398928739	2	11
14	5	dDNd	1.11758708953857e-07	0.237846753001213	230.390667821376	0.0361204915549349	2	16
15	1	McFadden	0.237349317115047	NaN	191.060358043054	0.0320050862045965	1	20
15	2	LinearDistrb	0.233963469043374	NaN	192.644091193119	0.0272055346354036	1	18
15	3	DN	4.76837158203125e-07	0.075421953201294	189.514825016409	0.0194754758721795	2	17
15	4	dDNb	2.04890966415405e-08	0.0687233999371528	190.951662275126	0.0313903789170267	2	22
15	5	dDNd	0.0010986328125	0.06895751953125	191.005082842525	0.0287795797893982	2	13
16	1	McFadden	0.218517599627376	NaN	185.598239465135	0.029585149943695	1	21
16	2	LinearDistrb	0.198074026921063	NaN	183.832120993131	0.0327914492967105	1	22
16	3	DN	0.0082229546446726	0.114676264560418	184.976379985929	0.0255330327045016	1	22
16	4	dDNb	3.37604433298111e-09	0.0997376644751057	182.446750142754	0.0228769830870217	2	23
16	5	dDNd	4.76837158203125e-07	0.102449607849121	182.441443460368	0.0267106276583963	2	20
17	1	McFadden	5.07867431640625	NaN	263.164192337611	0.0307716841842481	1	21
17	2	LinearDistrb	2.10458564877626	NaN	257.795708242575	0.0290877083015688	2	20
17	3	DN	4.76837158203125e-07	0.321440893411636	255.719595986854	0.0232579373915964	2	18
17	4	dDNb	1.11758708953857e-07	0.318339186906815	255.866189154591	0.0232024012586255	2	13
17	5	dDNd	4.76837158203125e-07	0.324551862478256	255.813362241133	0.0300298446753469	2	20
18	1	McFadden	0.692637303844094	NaN	192.51751375002	0.0145868840159452	2	18
18	2	LinearDistrb	0.645724062109366	NaN	193.657370987986	0.0242059860426684	2	16
18	3	DN	0.0530332326889038	0.113539981842041	192.03530150826	0.025814891220059	2	19
18	4	dDNb	0.0010986328125	0.115228271484375	192.961999929688	0.025060094298957	2	15
18	5	dDNd	7.82165443524718e-11	0.115379893224599	192.972939711365	0.0265851902317644	1	18
19	1	McFadden	0.506462539749919	NaN	236.343591747507	0.0234832880229247	1	17
19	2	LinearDistrb	4.1904296875	NaN	266.839293912056	0.025653216361442	2	14
19	3	DN	9.21836476663884e-06	0.175734391436629	231.346673701271	0.0219057753274819	1	19
19	4	dDNb	2.04890966415405e-08	0.178854057565331	231.818285399516	0.022754542382445	2	21
19	5	dDNd	2.27373675443232e-13	0.174101147403985	231.779714486959	0.0248527108221856	1	17
20	1	McFadden	0.303832323290408	NaN	98.1702161642462	0.0177486746571398	1	18
20	2	LinearDistrb	0.189575910568237	NaN	96.8542337269775	0.0192991255190182	2	16
20	3	DN	4.76837158203125e-07	0.0728848457336426	93.4552585024077	0.01903648540382	2	14
20	4	dDNb	0.123176279988613	0.0181892751855706	96.7120413078786	0.0200156744335667	1	18
20	5	dDNd	0.127106668893248	0.0166398389264941	96.6809855244229	0.0154398835152143	1	23
21	1	McFadden	0.46221923828125	NaN	139.883613685762	0.0231849065526172	2	14
21	2	LinearDistrb	0.378500695042021	NaN	164.985803298844	0.0282223307564162	2	22
21	3	DN	0.441390544176102	0	139.831717401111	0.0204871465245609	2	19
21	4	dDNb	8.98421381023695e-05	0.0298687192505455	164.25584721959	0.0179772370540295	1	20
21	5	dDNd	0.0352863276070821	0.028309831885872	164.419374981834	0.0227231556262271	1	21
22	1	McFadden	4.3962516784668	NaN	268.383780821166	0.0280202450421446	2	14
22	2	LinearDistrb	1.60288347303867	NaN	264.196577538607	0.0297492609654134	2	16
22	3	DN	0.00204036978539079	0.225689731584862	262.518761760541	0.02995175072773	1	20
22	4	dDNb	4.76837158203125e-07	0.24703586101532	262.805715051013	0.0329154247554672	2	11
22	5	dDNd	2.04890966415405e-08	0.244109866768122	262.787131977993	0.0240121509410358	2	11
23	1	McFadden	1.83084106445312	NaN	202.753729235756	0.0223577018075635	1	23
23	2	LinearDistrb	0.777938842773438	NaN	182.180798682667	0.0260276595328162	2	15
23	3	DN	0.878684745053761	0	183.758443801654	0.0189978344214709	1	22
23	4	dDNb	0.792518615722656	0	182.202530519494	0.0269770571375578	2	14
23	5	dDNd	0.780906200408936	0	182.213927360809	0.0239383934284579	2	18
24	1	McFadden	0.327517001279375	NaN	118.111479981289	0.0467580681630764	1	25
24	2	LinearDistrb	0.312344036996365	NaN	117.979457369584	0.0385339747669916	2	17
24	3	DN	4.76837158203125e-07	0.110120677947998	114.094736919749	0.0258022840680047	2	21
24	4	dDNb	1.11758708953857e-07	0.108127568662167	114.698552736594	0.0237954173890721	2	18
