subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	nll	nllsd	success	iterations
22071401.000000	1.000000	3.000000	97.327097	0.452523	NaN	NaN	1.700928	-2.432654	NaN	NaN	247.960265	0.033676	2.000000	17.000000
22071401.000000	1.000000	19.000000	42.034630	-0.223793	NaN	NaN	1.870699	-2.273023	NaN	NaN	248.257822	0.038176	2.000000	20.000000
22071401.000000	1.000000	24.000000	37.761855	0.787085	NaN	NaN	1.579134	0.422018	NaN	NaN	248.522690	0.048569	2.000000	21.000000
22071401.000000	1.000000	8.000000	81.434650	0.101022	NaN	NaN	6.839113	-0.565070	NaN	NaN	286.533897	0.023985	1.000000	22.000000
22071401.000000	1.000000	17.000000	34.202722	0.091009	NaN	NaN	4.477530	-0.551180	NaN	NaN	272.113306	0.058119	1.000000	19.000000
22071401.000000	1.000000	36.000000	37.699981	-0.179606	NaN	NaN	1.683135	0.439964	NaN	NaN	247.974467	0.030814	2.000000	22.000000
22071401.000000	1.000000	20.000000	15.320793	-0.222080	NaN	NaN	1.676003	0.506026	NaN	NaN	247.912320	0.044009	2.000000	21.000000
22071401.000000	1.000000	13.000000	62.011799	0.233236	NaN	NaN	1.701919	-2.477356	NaN	NaN	247.993878	0.033366	2.000000	24.000000
22071401.000000	1.000000	37.000000	33.635947	0.306584	NaN	NaN	1.703807	0.518914	NaN	NaN	247.938209	0.038651	2.000000	20.000000
22071401.000000	1.000000	40.000000	43.672536	0.718342	NaN	NaN	1.799259	0.159087	NaN	NaN	249.051197	0.035072	1.000000	21.000000
22071401.000000	1.000000	35.000000	93.038656	-0.035906	NaN	NaN	1.760572	0.397948	NaN	NaN	247.941705	0.050419	2.000000	28.000000
22071401.000000	1.000000	33.000000	63.052793	0.170610	NaN	NaN	1.969204	0.260772	NaN	NaN	248.670380	0.032086	1.000000	23.000000
22071401.000000	1.000000	12.000000	62.803264	-0.337447	NaN	NaN	1.696205	-2.474694	NaN	NaN	247.997862	0.040075	1.000000	31.000000
22071401.000000	1.000000	6.000000	86.681705	-0.227494	NaN	NaN	1.843861	0.293254	NaN	NaN	248.173615	0.035783	1.000000	29.000000
22071401.000000	1.000000	32.000000	33.572380	0.588781	NaN	NaN	2.008181	0.076284	NaN	NaN	249.508199	0.041285	2.000000	30.000000
22071401.000000	1.000000	25.000000	80.065757	0.290691	NaN	NaN	1.754370	0.417356	NaN	NaN	247.966764	0.041249	2.000000	32.000000
22071401.000000	1.000000	16.000000	61.457379	0.369358	NaN	NaN	2.004001	-2.098241	NaN	NaN	249.238174	0.043048	1.000000	34.000000
