subID	modeli	name	Mp	delta	wp	scl	nll	nllsd	success	iterations
10	4	dDNb	20.6795671342406	-0.100290768733248	0	0.000103082717396452	352.585244135593	0.0387563194325348	2	20
10	5	dDNd	20.3861746545881	-0.0975022368133068	0	1.86264514923096e-09	352.573781222033	0.0265219383730106	2	21
11	1	McFadden	349.992716815323	0.242184462025762	NaN	NaN	395.434478519413	0.0390865878060624	1	18
11	2	LinearDistrb	316.145462632179	-0.0421591520309448	NaN	2.78687279224396	395.504855641072	0.033347329284601	2	17
11	3	DN	2.11002770811319e-10	-0.065687691020139	0.994238307686464	NaN	369.782527832494	0.0273084095066143	2	23
11	4	dDNb	4.61935997009277e-07	-0.0757690638303757	0.972805131971836	0.283319966495037	369.556695875633	0.0333543378916483	1	22
11	5	dDNd	0.00043743205969804	-1.86843031549215	1.23946059989648	3.99999181929888	354.130288084979	0.0239867622812322	1	20
12	1	McFadden	61.9525263387477	0.629170078411698	NaN	NaN	374.349535449698	0.0314073369409004	2	18
12	2	LinearDistrb	51.9774788001596	0.550327345248661	NaN	3.99990639400639	370.787347117104	0.0330011780584799	1	29
12	3	DN	4.18234250787464e-07	0.48673495658883	0.421183986449481	NaN	367.41775911864	0.0408146012737625	1	25
12	4	dDNb	9.31322574615479e-10	0.395300552714616	0.407483004126698	3.99999999981374	361.764126814409	0.0310199653564736	2	23
12	5	dDNd	8.25003242492676	0.608658981323242	0.325500106811523	3.97225532531738	365.423987655532	0.035100242455273	2	19
13	1	McFadden	162.54963645339	-0.391201823949814	NaN	NaN	350.592176740707	0.0379417503240403	2	16
13	2	LinearDistrb	170.587260143831	-0.429925908148289	NaN	1.97410004325211	350.612687631948	0.0317921355289237	2	16
13	3	DN	168.75091791153	-0.450841903686524	0.00162754058837888	NaN	350.658208171213	0.0371195414726113	2	13
13	4	dDNb	163.91056060791	-0.426377868652344	0	0.556231689453125	350.660101834525	0.0362541415304759	2	17
13	5	dDNd	1.9371509552002e-06	-0.408061671257019	1.28656858205795	3.99999998807907	350.221615874587	0.0343433466478623	2	26
14	1	McFadden	7.00735855102539	0.0960128784179688	NaN	NaN	168.161264776221	0.0449224026957563	2	17
14	2	LinearDistrb	7.21681547164917	0.0620688438415527	NaN	7.62939453169409e-07	168.196100045624	0.0462461012314069	2	17
14	3	DN	7.09969520568848	0.0537715911865234	0	NaN	168.225167382755	0.0428344347727813	2	20
14	4	dDNb	6.99844825267792	0.104255199432373	0	0.309052181243897	168.241498510628	0.0392251068060341	2	24
14	5	dDNd	6.96152440598235	0.0939077905379236	4.34117391701072e-06	0.0446072709746659	168.148246370387	0.0456138934153727	1	34
