subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	nll	nllsd	success	iterations
1.000000	1.000000	5.000000	47.692246	0.140447	NaN	NaN	2.111585	-1.999931	NaN	NaN	250.370171	0.047834	2.000000	31.000000
1.000000	2.000000	25.000000	75.693342	0.055192	NaN	1.105498	6.607422	0.131055	NaN	1.445410	307.256816	0.023792	2.000000	12.000000
1.000000	2.000000	19.000000	35.197462	-0.139464	NaN	1.250899	0.033203	-0.709766	NaN	3.999512	267.102956	2.181698	2.000000	12.000000
1.000000	2.000000	32.000000	99.913152	0.308940	NaN	0.344384	14.073662	-0.819615	NaN	3.999992	311.704853	0.024308	2.000000	11.000000
1.000000	2.000000	33.000000	64.600862	-0.005094	NaN	1.698812	11.828125	0.005371	NaN	0.220215	334.960266	0.030117	2.000000	11.000000
1.000000	2.000000	34.000000	39.566602	0.213282	NaN	1.809809	11.344727	0.272266	NaN	0.352051	337.794581	0.030937	2.000000	12.000000
1.000000	2.000000	21.000000	81.372028	-0.102059	NaN	1.063464	1.404846	0.582959	NaN	1.055121	245.813234	0.042242	2.000000	11.000000
1.000000	2.000000	30.000000	6.616546	0.179244	NaN	0.283004	1.966797	0.049609	NaN	0.976953	248.914955	0.043192	2.000000	11.000000
1.000000	2.000000	26.000000	82.197091	0.315104	NaN	0.925230	0.033203	-1.291016	NaN	3.999512	267.011337	2.198003	2.000000	12.000000
1.000000	2.000000	18.000000	1.465077	0.178372	NaN	1.311608	1.340107	0.503751	NaN	1.165832	245.753655	0.047736	2.000000	11.000000
1.000000	2.000000	35.000000	82.296375	0.097067	NaN	1.182570	0.033203	-0.216113	NaN	2.434180	272.922345	0.027696	2.000000	12.000000
1.000000	2.000000	20.000000	45.032561	0.146281	NaN	1.413862	0.033203	-1.029102	NaN	2.598535	273.809100	0.022219	2.000000	12.000000
1.000000	2.000000	22.000000	53.382765	0.174147	NaN	0.371271	6.462402	0.096484	NaN	1.641406	305.442682	0.025786	2.000000	12.000000
1.000000	2.000000	1.000000	65.096266	-0.019049	NaN	0.620150	0.540771	-1.706665	NaN	3.785718	270.922667	2.451071	2.000000	11.000000
1.000000	2.000000	39.000000	7.259686	-0.164596	NaN	0.208671	1.619354	0.298102	NaN	1.075885	246.750917	0.053425	2.000000	14.000000
