subID	modeli	name	eta	Mp	wp	nll	nllsd	success	iterations
9	2	Model2	7.71451494693757	NaN	NaN	188.529533618824	0.0842669437891684	2	16
9	3	DN	1	8.6194846212864	-0.00635284930467611	190.752910505854	0.102516674554422	2	18
9	4	dDNa	1	12.3770338814855	-0.106444629787438	188.935754083394	0.919009484984132	1	21
9	5	dDNb	1	1.66267000167863e-12	0.159759902856146	186.893212028501	0.111964631288027	1	19
9	6	dDNc	1	14.7568705623969	-0.171982893813402	187.390925654166	0.121509916788029	2	19
9	7	dDNd	1	0.0131244018673939	0.16259696893394	187.283796728801	0.126093644056147	1	17
10	1	McFadden	27.2999241828918	NaN	NaN	352.714968030362	0.0394543243293811	2	17
10	2	Model2	27.5460118879273	NaN	NaN	353.718749424044	0.0261003564756306	2	15
10	3	DN	1	31.5925480663776	-0.0933550387620927	352.671871435139	0.0279187361686084	2	14
10	4	dDNa	1	1.0734846353531	0.690677769482136	353.093652986532	0.0350643208749274	2	17
10	5	dDNb	1	33.5236862182617	-0.131033325195313	353.951736418639	0.0403223559287684	2	15
10	6	dDNc	1	3.54890444129706	0.618107631802559	352.746281623874	0.0380720818351324	2	13
10	7	dDNd	1	36.3831377062423	-0.197900517311064	353.671082317939	0.0328259950940396	1	19
11	1	McFadden	395.143654632568	NaN	NaN	395.587557648998	0.0288741746711967	2	15
11	2	Model2	446.938638802497	NaN	NaN	395.491345383306	0.0340990544715635	2	20
11	3	DN	1	2.86102299185131e-07	1.35407155156136	369.889623804378	0.0332793013323082	2	20
11	4	dDNa	1	4.73022461022765e-05	1.27889080047607	364.617711604673	0.0354349175645813	2	15
11	5	dDNb	1	1.0244549031313e-07	1.45647787544876	374.200143979677	0.0341886511373621	1	23
11	6	dDNc	1	3.52926576852042e-11	1.48452305911651	353.97717362344	0.0387246660836171	1	21
11	7	dDNd	1	1.06170858771293e-08	1.55810532500036	368.332660802484	0.027021962373467	2	21
12	1	McFadden	107.199317634106	NaN	NaN	375.125174899459	0.0332860731946713	2	16
12	2	Model2	106.106054444867	NaN	NaN	374.866152491476	0.0364265129698803	2	15
12	3	DN	1	2.86102299185131e-07	0.715166616439819	368.28317187421	0.0374378020876428	2	16
12	4	dDNa	1	0.00380859375000853	0.72506103515625	368.982563465024	0.0343087694900622	2	13
12	5	dDNb	1	2.86102299185131e-07	0.704519510269165	367.926088376421	0.0334416294192636	2	17
12	6	dDNc	1	2.86102299185131e-07	0.711448740959167	368.975527389669	0.0313766612902881	2	14
12	7	dDNd	1	2.86102299185131e-07	0.71264469102025	367.933269230657	0.0362939890589252	2	12
13	1	McFadden	182.92109802934	NaN	NaN	351.362305925473	0.0220895465508861	1	21
13	2	Model2	182.348211669922	NaN	NaN	351.338235356436	0.0332624809403619	2	12
13	3	DN	1	353.580255126953	-1.21474304199219	350.788463316255	0.0329967233673818	2	15
13	4	dDNa	1	290.657342429273	-0.760848899232224	350.948382396464	0.0266090055379712	1	25
13	5	dDNb	1	228.968362732232	-0.457411836832762	351.278002122352	0.0360635375936635	2	18
13	6	dDNc	1	323.468148227571	-1.05586036328459	350.590334926139	0.0411725551520649	1	28
13	7	dDNd	1	353.472495712276	-1.18704661194934	350.728352677672	0.040662240657041	2	19
14	1	McFadden	10.5143615722656	NaN	NaN	168.323459155358	0.0407004668725326	2	12
14	2	Model2	9.62302209522669	NaN	NaN	168.807667936604	0.0391722210634927	2	18
14	3	DN	1	23.55192983749	-0.192378356160771	160.61753404886	0.0251183775425863	1	27
14	4	dDNa	1	23.3943695187569	-0.212210980057716	160.314866958459	0.0348202203122572	2	22
14	5	dDNb	1	23.3799855172634	-0.207622987031937	159.287657937844	0.028040340655176	2	17
14	6	dDNc	1	23.0501636770103	-0.208062611360384	160.271216220247	0.021990363594115	1	20
14	7	dDNd	1	23.5948740421794	-0.208878393052146	159.250337706426	0.0265023806499876	2	23
15	1	McFadden	19.9540131509304	NaN	NaN	327.877907271853	0.0317391037864028	2	19
15	2	Model2	19.5129993345588	NaN	NaN	327.656912253835	0.0291602519763927	2	17
15	3	DN	1	0.00380859375000853	0.49195556640625	321.765881695505	0.030580859925285	2	12
15	4	dDNa	1	2.86102299185131e-07	0.467163151502609	320.322139179109	0.0312840626045963	2	18
