subID	Model	randi	Mp0	wp0	Mp	wp	nll	nllsd	success	iterations
1.000000	3.000000	5.000000	23.102109	0.053785	0.517677	0.000000	104.343565	0.040422	1.000000	20.000000
1.000000	3.000000	8.000000	35.722511	0.527146	0.539511	0.000001	104.421933	0.032611	1.000000	29.000000
1.000000	4.000000	8.000000	48.110230	0.663738	0.001099	0.075024	112.104174	0.016172	2.000000	12.000000
1.000000	4.000000	24.000000	3.083076	0.681668	0.316246	0.000000	100.126766	0.027335	2.000000	14.000000
1.000000	4.000000	23.000000	34.736430	1.187308	0.356995	0.000000	100.487151	0.023959	2.000000	17.000000
1.000000	4.000000	13.000000	7.521033	0.965518	0.316807	0.000000	100.072715	0.024686	2.000000	16.000000
1.000000	4.000000	36.000000	28.917798	1.186507	0.310498	0.000000	100.093017	0.026278	2.000000	18.000000
1.000000	4.000000	26.000000	11.202464	0.316060	0.306152	0.000000	100.063184	0.023990	2.000000	13.000000
1.000000	4.000000	12.000000	27.443239	0.622387	0.395126	0.000000	101.218288	0.025186	2.000000	16.000000
1.000000	4.000000	40.000000	20.253658	0.982661	0.354004	0.000000	100.511139	0.030899	2.000000	14.000000
1.000000	4.000000	27.000000	7.393127	0.967144	0.324217	0.000002	100.124123	0.019876	1.000000	18.000000
1.000000	4.000000	25.000000	43.457073	0.626075	0.316620	0.000000	100.096677	0.021382	2.000000	14.000000
1.000000	4.000000	16.000000	46.461673	0.338180	0.019043	0.048535	105.116523	0.020731	2.000000	13.000000
1.000000	4.000000	6.000000	25.058730	1.050064	0.421482	0.000000	101.842671	0.024000	2.000000	16.000000
1.000000	4.000000	9.000000	31.275953	1.311159	0.288939	0.000000	100.081324	0.021565	1.000000	20.000000
1.000000	4.000000	14.000000	42.776021	0.342992	0.357368	0.000000	100.520028	0.023759	2.000000	15.000000
1.000000	4.000000	32.000000	29.396807	0.780259	0.312751	0.000000	100.041594	0.022232	1.000000	20.000000
1.000000	4.000000	1.000000	37.863158	0.612956	0.286292	0.002796	100.234270	0.033684	1.000000	18.000000
1.000000	4.000000	39.000000	13.544419	1.091945	0.301456	0.000049	100.071853	0.025647	1.000000	17.000000
1.000000	4.000000	21.000000	26.476916	1.317233	0.316620	0.000000	100.064862	0.026584	1.000000	20.000000
1.000000	4.000000	37.000000	16.764506	0.008787	0.309506	0.000000	100.073799	0.019809	2.000000	19.000000
1.000000	4.000000	7.000000	2.485195	0.469036	0.307274	0.000000	100.090034	0.025808	2.000000	15.000000
1.000000	4.000000	22.000000	17.290764	1.368718	0.337526	0.000000	100.268331	0.023338	2.000000	18.000000
1.000000	4.000000	18.000000	42.434254	1.018303	0.001219	0.024063	102.359494	0.024107	2.000000	20.000000
1.000000	4.000000	2.000000	4.072801	0.767001	0.000000	0.025334	102.199035	0.021387	2.000000	19.000000
1.000000	4.000000	11.000000	47.782010	1.210073	0.315849	0.000000	100.118592	0.022885	2.000000	18.000000
1.000000	4.000000	17.000000	21.780326	1.215109	0.306259	0.000000	100.015382	0.030994	2.000000	19.000000
1.000000	4.000000	20.000000	31.924507	0.334025	0.282653	0.000000	100.172963	0.029991	1.000000	19.000000
1.000000	4.000000	35.000000	49.605847	1.007124	0.300604	0.000000	100.075766	0.029549	1.000000	17.000000
1.000000	4.000000	29.000000	24.366096	0.416931	0.180416	0.010043	100.603397	0.035011	2.000000	20.000000
1.000000	4.000000	38.000000	30.516721	0.515197	0.297235	0.000000	100.034716	0.023789	1.000000	19.000000
1.000000	4.000000	3.000000	11.657517	1.196555	0.296141	0.000001	100.047904	0.017289	1.000000	18.000000
1.000000	4.000000	19.000000	17.320818	0.183703	0.306399	0.000000	100.047513	0.028387	1.000000	20.000000
