subID	Model	randi	eta0	Mp0	wp0	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	22.000000	99.085693	NaN	NaN	6.759564	NaN	NaN	283.233879	0.029969	2.000000	17.000000
1.000000	1.000000	11.000000	1.448506	NaN	NaN	2.945985	NaN	NaN	250.350384	0.042476	2.000000	17.000000
1.000000	1.000000	38.000000	15.905671	NaN	NaN	2.916356	NaN	NaN	250.238331	0.044527	2.000000	16.000000
1.000000	1.000000	24.000000	38.013323	NaN	NaN	3.055909	NaN	NaN	250.491935	0.035337	2.000000	16.000000
1.000000	1.000000	4.000000	33.358042	NaN	NaN	2.936861	NaN	NaN	250.322683	0.048864	1.000000	21.000000
1.000000	1.000000	9.000000	23.093774	NaN	NaN	2.922423	NaN	NaN	250.341994	0.036127	1.000000	20.000000
1.000000	1.000000	2.000000	64.340915	NaN	NaN	2.961733	NaN	NaN	250.357543	0.050608	1.000000	26.000000
1.000000	2.000000	39.000000	71.265699	NaN	NaN	3.518359	NaN	NaN	253.425910	0.039008	2.000000	13.000000
1.000000	2.000000	5.000000	33.327142	NaN	NaN	3.807227	NaN	NaN	255.758066	0.028739	2.000000	12.000000
1.000000	2.000000	24.000000	74.932538	NaN	NaN	2.526648	NaN	NaN	248.835799	0.088209	2.000000	14.000000
1.000000	2.000000	3.000000	22.756487	NaN	NaN	2.760835	NaN	NaN	249.158550	0.054613	2.000000	14.000000
1.000000	2.000000	27.000000	39.294519	NaN	NaN	2.611512	NaN	NaN	248.869447	0.077872	2.000000	13.000000
1.000000	2.000000	29.000000	37.629760	NaN	NaN	2.757826	NaN	NaN	249.189361	0.054847	2.000000	14.000000
1.000000	2.000000	33.000000	60.679077	NaN	NaN	2.665675	NaN	NaN	248.925409	0.055786	2.000000	15.000000
1.000000	2.000000	18.000000	8.774103	NaN	NaN	2.892480	NaN	NaN	249.523418	0.045097	2.000000	10.000000
1.000000	2.000000	30.000000	52.555222	NaN	NaN	2.492279	NaN	NaN	248.944766	0.082357	2.000000	14.000000
1.000000	2.000000	37.000000	71.266940	NaN	NaN	3.518359	NaN	NaN	253.433257	0.038016	2.000000	14.000000
1.000000	2.000000	6.000000	6.420825	NaN	NaN	3.133203	NaN	NaN	250.805356	0.043587	2.000000	15.000000
1.000000	2.000000	19.000000	98.612004	NaN	NaN	3.004637	NaN	NaN	250.140802	0.043239	2.000000	16.000000
1.000000	2.000000	17.000000	22.626391	NaN	NaN	2.881009	NaN	NaN	249.572073	0.051216	2.000000	15.000000
1.000000	2.000000	1.000000	9.198608	NaN	NaN	2.691827	NaN	NaN	249.021872	0.058799	2.000000	17.000000
1.000000	2.000000	4.000000	62.271710	NaN	NaN	2.615085	NaN	NaN	248.959370	0.076542	2.000000	13.000000
1.000000	2.000000	16.000000	16.667038	NaN	NaN	2.733354	NaN	NaN	249.174871	0.069016	2.000000	15.000000
1.000000	2.000000	36.000000	50.710130	NaN	NaN	2.742041	NaN	NaN	249.073084	0.038415	2.000000	17.000000
1.000000	2.000000	13.000000	89.607216	NaN	NaN	2.723410	NaN	NaN	249.068948	0.064634	2.000000	15.000000
1.000000	2.000000	34.000000	74.689134	NaN	NaN	2.637465	NaN	NaN	248.839013	0.062158	2.000000	17.000000
1.000000	2.000000	9.000000	81.969467	NaN	NaN	2.751385	NaN	NaN	249.162366	0.045513	2.000000	15.000000
1.000000	2.000000	15.000000	62.984225	NaN	NaN	2.608503	NaN	NaN	248.949225	0.074654	2.000000	15.000000
1.000000	2.000000	22.000000	61.751246	NaN	NaN	2.650629	NaN	NaN	248.945604	0.051103	2.000000	15.000000
1.000000	2.000000	12.000000	46.166078	NaN	NaN	2.653780	NaN	NaN	248.920722	0.061751	2.000000	15.000000
1.000000	2.000000	28.000000	75.550159	NaN	NaN	2.639581	NaN	NaN	248.919990	0.060644	2.000000	17.000000
1.000000	2.000000	11.000000	72.129865	NaN	NaN	2.912157	NaN	NaN	249.697145	0.058757	1.000000	18.000000
1.000000	2.000000	20.000000	21.785833	NaN	NaN	2.628704	NaN	NaN	248.900151	0.074412	2.000000	17.000000
1.000000	2.000000	31.000000	28.257704	NaN	NaN	2.717392	NaN	NaN	249.118605	0.047338	2.000000	14.000000
1.000000	2.000000	10.000000	95.788434	NaN	NaN	2.622020	NaN	NaN	248.962678	0.070321	2.000000	17.000000
1.000000	2.000000	21.000000	28.030348	NaN	NaN	2.635347	NaN	NaN	249.072190	0.056774	2.000000	18.000000
1.000000	2.000000	2.000000	86.829774	NaN	NaN	2.724727	NaN	NaN	249.095323	0.045332	1.000000	21.000000
1.000000	2.000000	14.000000	48.526972	NaN	NaN	2.873818	NaN	NaN	249.515999	0.050212	2.000000	16.000000
1.000000	2.000000	7.000000	89.929732	NaN	NaN	2.544749	NaN	NaN	249.016904	0.094693	2.000000	18.000000
1.000000	2.000000	8.000000	20.451909	NaN	NaN	3.229492	NaN	NaN	251.366233	0.031878	1.000000	21.000000
