subID	Model	randi	eta0	Mp0	wp0	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	14.000000	3.847351	NaN	NaN	2.853363	NaN	NaN	250.471320	0.062347	2.000000	11.000000
1.000000	1.000000	1.000000	14.697007	NaN	NaN	2.990462	NaN	NaN	250.332046	0.044672	2.000000	9.000000
1.000000	1.000000	6.000000	86.735517	NaN	NaN	4.673828	NaN	NaN	262.683071	0.035175	2.000000	9.000000
1.000000	1.000000	15.000000	3.123137	NaN	NaN	2.341921	NaN	NaN	257.142326	1.510498	2.000000	14.000000
1.000000	1.000000	13.000000	62.165286	NaN	NaN	-634.101794	NaN	NaN	392.937218	0.029517	2.000000	14.000000
1.000000	1.000000	35.000000	93.066782	NaN	NaN	4.815253	NaN	NaN	264.193594	0.029941	2.000000	11.000000
1.000000	1.000000	19.000000	42.268833	NaN	NaN	-115.495195	NaN	NaN	401.014268	0.040318	2.000000	9.000000
1.000000	1.000000	11.000000	1.448506	NaN	NaN	3.079041	NaN	NaN	250.526581	0.038491	2.000000	11.000000
1.000000	1.000000	40.000000	43.900122	NaN	NaN	2.988393	NaN	NaN	250.344411	0.043997	2.000000	15.000000
1.000000	1.000000	2.000000	64.340915	NaN	NaN	-255.545342	NaN	NaN	395.432667	0.029025	2.000000	16.000000
1.000000	1.000000	24.000000	38.013323	NaN	NaN	-505.648692	NaN	NaN	393.299606	0.034423	2.000000	18.000000
1.000000	1.000000	16.000000	61.613107	NaN	NaN	5.251563	NaN	NaN	268.628754	0.026591	1.000000	20.000000
1.000000	1.000000	12.000000	62.953553	NaN	NaN	5.925586	NaN	NaN	275.400065	0.029584	1.000000	20.000000
1.000000	1.000000	38.000000	15.905671	NaN	NaN	2.919119	NaN	NaN	250.319268	0.037197	2.000000	16.000000
1.000000	1.000000	3.000000	97.337896	NaN	NaN	3.021604	NaN	NaN	250.466019	0.045427	2.000000	21.000000
1.000000	1.000000	32.000000	33.840774	NaN	NaN	2.915270	NaN	NaN	250.373068	0.044094	2.000000	19.000000
1.000000	1.000000	26.000000	12.378666	NaN	NaN	2.961480	NaN	NaN	250.364858	0.052023	1.000000	21.000000
1.000000	2.000000	24.000000	50.142080	NaN	NaN	-21.408472	NaN	NaN	449.518483	0.036822	2.000000	9.000000
1.000000	2.000000	10.000000	23.390018	NaN	NaN	5.925586	NaN	NaN	276.535142	0.024223	2.000000	9.000000
1.000000	2.000000	16.000000	53.594994	NaN	NaN	-22.190820	NaN	NaN	447.290118	0.037448	2.000000	10.000000
1.000000	2.000000	25.000000	51.215908	NaN	NaN	4.454169	NaN	NaN	261.992598	0.027840	2.000000	9.000000
1.000000	2.000000	33.000000	88.716597	NaN	NaN	5.733008	NaN	NaN	274.660901	0.033544	2.000000	9.000000
1.000000	2.000000	23.000000	92.189599	NaN	NaN	5.829297	NaN	NaN	275.565646	0.026535	2.000000	9.000000
