subID	Model	randi	Mp0	wp0	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	25.000000	80.065757	NaN	4.982561	NaN	253.842350	0.023533	2.000000	14.000000
1.000000	1.000000	20.000000	15.320793	NaN	9.408678	NaN	263.388194	0.027259	2.000000	14.000000
1.000000	1.000000	38.000000	15.564517	NaN	7.694691	NaN	260.954804	0.026348	2.000000	14.000000
1.000000	1.000000	1.000000	14.350950	NaN	18.671989	NaN	268.892316	0.027148	2.000000	12.000000
1.000000	1.000000	22.000000	99.081984	NaN	10.693460	NaN	264.715709	0.025638	2.000000	14.000000
1.000000	1.000000	26.000000	12.023204	NaN	6.964684	NaN	259.480306	0.028289	2.000000	12.000000
1.000000	1.000000	40.000000	43.672536	NaN	8.871841	NaN	262.727293	0.027666	2.000000	12.000000
1.000000	1.000000	19.000000	42.034630	NaN	10.142273	NaN	264.199877	0.029459	2.000000	13.000000
1.000000	1.000000	5.000000	47.692246	NaN	8.862778	NaN	262.684400	0.025180	2.000000	12.000000
1.000000	1.000000	27.000000	93.777266	NaN	12.099281	NaN	265.835488	0.024277	2.000000	12.000000
1.000000	1.000000	32.000000	33.572380	NaN	0.211052	NaN	108.663528	0.015716	2.000000	17.000000
1.000000	1.000000	11.000000	1.048702	NaN	0.205626	NaN	108.633596	0.023388	1.000000	20.000000
1.000000	1.000000	36.000000	37.699981	NaN	0.207472	NaN	108.642670	0.019093	1.000000	21.000000
1.000000	1.000000	14.000000	3.457280	NaN	0.206720	NaN	108.649791	0.017862	1.000000	19.000000
1.000000	1.000000	13.000000	62.011799	NaN	0.207845	NaN	108.631550	0.023169	2.000000	17.000000
1.000000	1.000000	24.000000	37.761855	NaN	0.214666	NaN	108.725669	0.018541	2.000000	16.000000
1.000000	1.000000	12.000000	62.803264	NaN	0.205306	NaN	108.628309	0.015301	1.000000	21.000000
1.000000	1.000000	7.000000	86.225074	NaN	0.213184	NaN	108.723380	0.020992	2.000000	20.000000
1.000000	1.000000	9.000000	22.781782	NaN	0.204276	NaN	108.610272	0.021176	1.000000	20.000000
1.000000	1.000000	10.000000	31.289195	NaN	0.206099	NaN	108.596629	0.020132	1.000000	25.000000
1.000000	2.000000	40.000000	68.345877	NaN	0.240913	NaN	115.243615	0.018526	2.000000	12.000000
1.000000	2.000000	16.000000	48.937978	NaN	0.187084	NaN	112.911180	0.024687	2.000000	13.000000
1.000000	2.000000	7.000000	38.877612	NaN	0.189295	NaN	112.905799	0.018844	1.000000	18.000000
1.000000	2.000000	27.000000	80.543017	NaN	0.189485	NaN	112.918223	0.021885	1.000000	19.000000
1.000000	2.000000	11.000000	65.511847	NaN	0.190591	NaN	112.921810	0.025042	2.000000	18.000000
1.000000	2.000000	39.000000	15.664229	NaN	0.186602	NaN	112.923654	0.021535	1.000000	19.000000
1.000000	2.000000	37.000000	17.020573	NaN	0.188136	NaN	112.942958	0.022080	2.000000	16.000000
1.000000	2.000000	34.000000	8.368577	NaN	0.187499	NaN	112.925058	0.019874	1.000000	19.000000
1.000000	2.000000	28.000000	13.639618	NaN	0.187594	NaN	112.910850	0.020752	1.000000	18.000000
1.000000	2.000000	32.000000	53.555228	NaN	0.190395	NaN	112.905652	0.020878	2.000000	21.000000
1.000000	2.000000	21.000000	34.791578	NaN	0.190938	NaN	112.927984	0.021270	1.000000	19.000000
1.000000	2.000000	30.000000	51.804869	NaN	0.183581	NaN	112.914308	0.023115	2.000000	23.000000
