subID	modeli	eta	Mp	wp	nll
23	7	1	7.44E+01	-3.80E-01	2.00E+02
24	1	5.88E+01	NaN	NaN	3.60E+02
24	2	2.15E+00	NaN	NaN	2.52E+02
24	3	1	-7.02E+00	1.19E+00	2.93E+02
24	4	1	-1.06E+00	4.30E-01	2.40E+02
24	5	1	2.03E-01	2.53E-02	2.46E+02
24	6	1	2.15E+00	-2.53E-02	2.44E+02
24	7	1	1.27E-01	7.59E-02	2.45E+02
25	1	2.89E+01	NaN	NaN	2.69E+02
25	2	2.89E+01	NaN	NaN	2.70E+02
25	3	1	5.88E+01	-2.78E-01	2.67E+02
25	4	1	7.44E+01	-4.30E-01	2.66E+02
25	5	1	7.44E+01	-4.30E-01	2.67E+02
25	6	1	7.44E+01	-4.30E-01	2.66E+02
25	7	1	7.44E+01	-4.30E-01	2.66E+02
26	1	1.13E+01	NaN	NaN	1.19E+02
26	2	8.89E+00	NaN	NaN	1.19E+02
26	3	1	-1.06E+00	1.77E-01	1.10E+02
26	4	1	-1.06E+00	1.77E-01	1.13E+02
26	5	1	-1.70E+00	1.77E-01	1.11E+02
26	6	1	-1.34E+00	1.77E-01	1.13E+02
26	7	1	-1.70E+00	1.77E-01	1.11E+02
27	1	4.64E+01	NaN	NaN	3.46E+02
27	2	3.67E+01	NaN	NaN	3.46E+02
27	3	1	1.51E+02	-1.29E+00	3.41E+02
27	4	1	4.64E+01	-7.59E-02	3.45E+02
27	5	1	9.43E+01	-6.84E-01	3.43E+02
27	6	1	4.64E+01	-7.59E-02	3.45E+02
27	7	1	7.44E+01	-4.30E-01	3.44E+02
28	1	4.38E+00	NaN	NaN	1.71E+02
28	2	3.46E+00	NaN	NaN	1.70E+02
28	3	1	1.70E+00	1.27E-01	1.71E+02
28	4	1	2.15E+00	7.59E-02	1.70E+02
28	5	1	2.73E+00	2.53E-02	1.70E+02
28	6	1	2.15E+00	7.59E-02	1.70E+02
28	7	1	2.73E+00	2.53E-02	1.70E+02
29	1	5.88E+01	NaN	NaN	3.51E+02
29	2	5.88E+01	NaN	NaN	3.50E+02
29	3	1	-7.44E+01	1.24E+00	3.39E+02
29	4	1	-1.19E+02	1.59E+00	3.36E+02
29	5	1	-1.19E+02	1.59E+00	3.34E+02
29	6	1	-1.19E+02	1.54E+00	3.37E+02
29	7	1	-1.19E+02	1.59E+00	3.34E+02
30	1	4.64E+01	NaN	NaN	2.19E+02
